icode,brand,name,discount,old_price,price,qty,scraped_at
14581236,NIKE 耐吉,VOMERO PLUS 男女運動鞋 慢跑鞋 緩震 (多款任選),51折,5800,2999,100,2026-08-06 14:13:13
14463274,PP 石墨烯,石墨烯塑崩褲全系列任選2件,33折,13960,4688,120,2026-08-06 14:13:13
15023945,m2美度,超超能膠原新生飲5盒組(8入/盒),48折,6900,3380,500,2026-08-06 14:13:13
15146594,Hair Recipe,洗護髮5入組★全新上市,49折,2265,1111,537,2026-08-06 14:13:13
14478745,大同,10人份不鏽鋼電鍋奶茶色,7折,3890,2740,100,2026-08-06 14:13:13
14019529,BRITA,ModelONE+濾芯13芯組,39折,22650,8888,30,2026-08-06 14:13:13
11500082,聲寶,425L一級變頻冰箱,77折,21188,16500,40,2026-08-06 14:13:13
12797999,mo select,日本製今治薩馬爾罕長纖棉浴巾2入組,3折,2960,899,120,2026-08-06 14:13:13
11108334,杏輝醫藥,蓉憶記膠囊3入組(共90粒),59折,10050,5980,60,2026-08-06 14:13:13
12490561,家樂氏,早餐麥片纖穀脆任選x4包,57折,1100,629,338,2026-08-06 14:13:13
14389957,Apple,S+級福利品 AirPods Max(Lightning),66折,17990,11999,10,2026-08-06 14:13:13
15362087,松屋,牛丼買10送10,47折,1980,950,350,2026-08-06 14:13:13
15410203,Kiehl’s 契爾氏,淡斑+三酸精華發光組,44折,10134,4540,50,2026-08-06 14:13:13
14937238,台北茹曦酒店,SUNNY BUFFET自助式午或晚餐券(假日+200),83折,1298,1088,280,2026-08-06 14:13:13
14069121,American Explorer 美國探險家,20吋 前開式 避震輪 防爆/防盜拉鍊 上掀式 行李箱 CF8 登機箱 旅行箱,38折,4180,1598,75,2026-08-06 14:13:13
13019510,ONE HOUSE洛克摺疊置物架,ONE HOUSE洛克摺疊置物架,35折,2799,999,283,2026-08-06 14:13:13
14931605,Buffalo 牛頭牌,小牛石英陶不沾鍋炒鍋30cm,33折,2800,950,200,2026-08-06 14:13:13
13523463,BH,G33 Any Go健步慢跑機,38折,25800,9888,40,2026-08-06 14:13:13
15058177,iloom 怡倫家居,S03 3人座模組沙發,68折,22000,14999,20,2026-08-06 14:13:13
15143552,ASUS,i7十核RTX5050電競★升32G,82折,51990,42888,20,2026-08-06 14:13:13
14321637,三得利,汎倫紳士多效活顏精華輕透版,95折,2800,2660,52,2026-08-06 14:13:13
7763758,包大人,瞬吸防漏 黏貼型紙褲,55折,1799,999,1,2026-08-06 14:13:13
13840658,NIKE,AIR FORCE 1 百搭休閒鞋(多色任選),52折,3600,1899,363,2026-08-06 14:13:13
11071919,百靈油,100ML*2+滾珠空瓶*1 共200ML,91折,3619,3311,69,2026-08-06 14:13:13
15300932,統一生機,蜜棗乾250gx6包,52折,1080,569,550,2026-08-06 14:13:13
7862122,寵物尿布墊買四送四,寵物尿布墊買四送四,44折,2000,888,169,2026-08-06 14:13:13
15179980,一匙靈,制菌/亮彩/淨柔洗衣精8包,71折,760,546,500,2026-08-06 14:13:13
